zip,provider,rate
38858,City of Aberdeen - (MS),0.110434079
39730,City of Aberdeen - (MS),0.110434079
70510,City of Abbeville - (LA),0.104042764
21824,A & N Electric Coop,0.12028597
21851,A & N Electric Coop,0.12028597
21866,A & N Electric Coop,0.12028597
21864,A & N Electric Coop,0.12028597
21863,A & N Electric Coop,0.12028597
23345,A & N Electric Coop,0.117331347
23347,A & N Electric Coop,0.117331347
23313,A & N Electric Coop,0.117331347
23310,A & N Electric Coop,0.117331347
23316,A & N Electric Coop,0.117331347
23443,A & N Electric Coop,0.117331347
23395,A & N Electric Coop,0.117331347
23404,A & N Electric Coop,0.117331347
23405,A & N Electric Coop,0.117331347
23401,A & N Electric Coop,0.117331347
23408,A & N Electric Coop,0.117331347
23409,A & N Electric Coop,0.117331347
23488,A & N Electric Coop,0.117331347
23486,A & N Electric Coop,0.117331347
23482,A & N Electric Coop,0.117331347
23480,A & N Electric Coop,0.117331347
23483,A & N Electric Coop,0.117331347
23407,A & N Electric Coop,0.117331347
23336,A & N Electric Coop,0.117331347
23337,A & N Electric Coop,0.117331347
23429,A & N Electric Coop,0.117331347
23426,A & N Electric Coop,0.117331347
23427,A & N Electric Coop,0.117331347
23420,A & N Electric Coop,0.117331347
23421,A & N Electric Coop,0.117331347
23422,A & N Electric Coop,0.117331347
23423,A & N Electric Coop,0.117331347
23308,A & N Electric Coop,0.117331347
23301,A & N Electric Coop,0.117331347
23303,A & N Electric Coop,0.117331347
23302,A & N Electric Coop,0.117331347
23307,A & N Electric Coop,0.117331347
23306,A & N Electric Coop,0.117331347
23389,A & N Electric Coop,0.117331347
23357,A & N Electric Coop,0.117331347
23354,A & N Electric Coop,0.117331347
23350,A & N Electric Coop,0.117331347
23415,A & N Electric Coop,0.117331347
23414,A & N Electric Coop,0.117331347
23417,A & N Electric Coop,0.117331347
23416,A & N Electric Coop,0.117331347
23410,A & N Electric Coop,0.117331347
23413,A & N Electric Coop,0.117331347
23412,A & N Electric Coop,0.117331347
23419,A & N Electric Coop,0.117331347
23418,A & N Electric Coop,0.117331347
23356,A & N Electric Coop,0.117331347
23358,A & N Electric Coop,0.117331347
23359,A & N Electric Coop,0.117331347
23442,A & N Electric Coop,0.117331347
23440,A & N Electric Coop,0.117331347
23441,A & N Electric Coop,0.117331347
23398,A & N Electric Coop,0.117331347
23399,A & N Electric Coop,0.117331347
23396,A & N Electric Coop,0.117331347
23341,A & N Electric Coop,0.117331347
62360,Adams Electric Coop,0.140787431
62376,Adams Electric Coop,0.140787431
62375,Adams Electric Coop,0.140787431
62373,Adams Electric Coop,0.140787431
61452,Adams Electric Coop,0.140787431
61455,Adams Electric Coop,0.140787431
62320,Adams Electric Coop,0.140787431
