name,acronym,emissions
ASCC Alaska Grid,AKGD,1268.73
ASCC Miscellaneous,AKMS,481.17
WECC Southwest,AZNM,1152.89
WECC California,CAMX,650.31
ERCOT All,ERCT,1143.04
FRCC All,FRCC,1125.35
HICC Miscellaneous,HIMS,1200.10
HICC Oahu,HIOA,1576.38
MRO East,MROE,1522.57
MRO West,MROW,1425.15
NPCC New England,NEWE,637.90
WECC Northwest,NWPP,665.75
NPCC NYC/Westchester,NYCW,696.70
NPCC Long Island,NYLI,1201.20
NPCC Upstate NY,NYUP,408.80
RFC East,RFCE,858.56
RFC Michigan,RFCM,1569.23
RFC West,RFCW,1379.48
WECC Rockies,RMPA,1822.65
SPP North,SPNO,1721.65
SPP South,SPSO,1538.63
SERC Mississippi Valley,SRMV,1052.92
SERC Midwest,SRMW,1710.75
SERC South,SRSO,1149.05
SERC Tennessee Valley,SRTV,1337.15
SERC Virginia/Carolina,SRVC,932.87
